Unnamed: 0,age,gender,region_category,membership_category,joining_date,joined_through_referral,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
20,33,1,1,2,2015-12-03,2,1,3,15,49.86,44289.97,25.0,703.96,1,2,2,2,2,1
21,30,1,1,2,2016-07-29,1,2,3,21,30.37,49404.86,23.0,630.61,1,2,1,1,4,1
22,19,2,3,1,2017-01-22,2,3,3,15,483.03,52702.67,3.0,389.3564431980522,2,1,1,1,9,0
23,48,1,3,5,2017-11-10,1,2,3,12,72.52,15860.41,3.2073857931601104,529.03,2,1,2,2,1,0
24,43,1,2,2,2015-08-14,2,1,3,17,108.3,21725.57,21.0,225.0044276241277,2,1,2,2,4,1
25,29,2,3,4,2016-04-09,2,1,3,18,300.38,12069.06,7.0,777.31,2,1,2,2,8,0
26,10,1,2,3,2015-11-10,1,3,3,1,100.65,8515.5,6.0,757.7,1,2,2,2,1,0
27,20,2,1,2,2016-12-08,2,1,3,22,272.31,42743.44,12.0,687.26,1,2,2,2,3,1
28,61,2,1,4,2017-05-14,3,3,3,17,-936.7448179192272,29156.1,10.0,710.38,1,2,1,1,1,1
29,10,1,3,3,2016-01-12,2,3,3,4,127.37,15719.24,10.0,634.88,1,2,1,5,4,1
30,17,2,2,2,2015-11-25,3,1,3,20,162.93,31100.95,11.0,633.05,2,1,1,3,8,1
31,60,1,3,2,2016-11-02,1,1,3,18,498.09,48125.94,27.0,686.8821987429081,2,1,2,2,3,1
32,11,2,3,3,2016-07-28,1,1,3,10,185.53,60143.68,4.0,836.08,1,2,1,4,9,0
33,60,1,2,3,2017-07-02,1,2,3,11,537.25,1773.49,6.0,711.76,1,1,2,2,3,0
34,12,1,2,5,2015-03-02,2,1,3,8,198.26,26105.24,7.0,721.36,1,2,2,2,2,0
35,52,1,3,4,2015-10-08,2,2,3,9,119.47,10101.48,28.0,158.54776452544024,1,2,2,2,4,1
36,30,1,2,5,2016-10-13,1,2,3,15,68.19,21111.9,23.0,574.01,1,1,1,4,2,1
37,26,1,3,2,2017-11-29,1,1,3,3,215.89,41979.65,9.0,686.8821987429081,2,1,2,2,8,1
38,26,2,3,2,2017-07-01,1,1,3,20,194.85,5912.06,13.0,568.34,1,2,2,2,8,1
39,49,2,1,1,2017-06-09,1,2,3,8,706.36,19062.25,Error,780.58,1,2,2,2,3,0
40,24,1,2,5,2016-10-10,3,1,3,15,210.44,35531.98,25.0,745.49,1,2,2,2,3,0
41,22,1,3,2,2017-06-02,1,3,3,4,-930.2078443168743,8415.63,17.0,650.44,2,1,1,4,8,1
42,33,2,3,5,2017-02-02,3,1,3,12,394.26,34697.85,19.0,752.3,1,2,1,1,4,0
43,17,1,2,1,2015-12-20,2,1,3,6,348.07,94100.72,4.0,824.95,1,1,2,2,9,0
44,36,1,1,4,2016-11-28,1,3,3,2,691.09,17989.46,Error,686.8821987429081,2,1,1,3,1,1
45,12,1,2,5,2017-02-13,2,1,3,8,33.09,55607.35,Error,686.8821987429081,1,2,2,2,9,0
46,58,2,1,3,2017-11-09,2,2,3,11,30.78,48080.03,10.0,713.62,1,2,2,2,3,0
47,41,1,3,1,2016-11-20,2,2,3,13,282.87,27528.03,27.0,743.8,1,2,2,2,4,0
48,30,1,2,1,2015-12-11,3,2,3,20,100.42,86433.91,Error,719.93,2,1,1,5,7,0
49,50,1,2,5,2015-10-25,2,1,3,18,154.7,24197.4,29.0,686.8821987429081,2,1,1,3,8,0
50,23,1,1,3,2015-10-22,1,3,3,10,65.25,5136.08,Error,755.22,2,1,2,2,2,0
51,38,1,3,3,2017-10-15,2,2,3,8,324.75,28535.13,27.0,770.31,1,1,1,3,2,0
52,20,1,2,4,2015-01-27,1,1,3,16,237.39,25000.09,16.0,704.4,2,1,2,2,4,1
53,35,2,1,3,2016-10-30,2,2,3,20,148.24,30984.56,11.0,729.04,1,2,2,2,2,0
54,43,1,3,5,2017-04-26,1,2,3,16,773.83,9091.94,20.0,700.4,2,1,2,2,3,0
55,32,1,2,4,2017-07-24,1,3,3,13,117.68,19822.82,43.36004149963438,686.8821987429081,1,2,2,2,8,0
56,40,2,3,1,2015-08-22,3,2,3,18,251.06,63416.63,12.0,1087.184702164714,2,1,1,4,5,0
57,40,2,3,4,2017-08-21,1,2,3,-999,46.57,24045.93,8.0,709.73,2,1,2,2,3,0
58,48,2,3,2,2017-03-17,3,2,3,12,539.49,49270.76,12.0,503.95,1,2,2,2,8,1
59,35,1,3,5,2015-05-11,2,2,3,12,34.48,48679.07,6.0,779.59,1,2,2,2,3,0
60,28,1,1,3,2017-05-17,1,2,3,9,-615.344318961141,13131.05,13.0,820.91,1,1,2,2,6,0
61,44,2,3,2,2016-08-23,1,2,3,13,283.49,7603.71,Error,553.45,1,1,1,5,1,1
62,40,1,3,5,2017-01-31,3,1,3,3,33.82,39735.58,25.0,784.32,1,2,1,1,8,0
63,18,2,2,5,2016-06-17,1,2,3,20,156.06,4783.23,28.75639925305587,597.87,1,2,1,1,8,0
64,10,1,3,5,2015-06-08,2,2,3,12,31.67,25436.23,Error,656.67,2,1,2,2,4,1
65,35,1,3,2,2017-11-27,1,2,3,4,157.03,22975.33,18.0,548.1,2,1,2,2,4,1
66,43,1,3,2,2015-04-06,2,3,3,11,227.23,29602.15,24.0,663.63,2,1,1,5,3,1
67,28,1,1,5,2017-10-29,2,1,3,4,457.33,20883.28,14.0,-549.3574976761337,2,1,2,2,8,1
68,53,1,3,1,2017-01-27,2,3,3,6,228.02,46353.54,19.0,302.005898539957,1,2,1,1,1,0
69,55,2,3,5,2017-09-03,2,2,3,18,42.77,8996.95,Error,749.56,1,2,1,5,4,0
70,59,2,3,2,2017-06-08,1,1,3,-999,207.52,12556.28,10.0,-44.597632583960205,2,1,2,2,1,1
71,39,1,2,2,2016-12-01,2,1,3,13,98.57,2645.63,23.0,674.42,2,1,2,2,3,1
72,11,1,2,3,2016-06-22,2,3,3,23,176.31,8983.02,25.0,707.46,2,1,1,3,3,1
73,37,1,1,2,2016-05-17,3,2,3,17,687.16,29101.96,18.0,713.82,1,1,2,2,2,1
74,53,1,2,2,2017-04-06,2,1,3,-999,253.96,19233.1,25.0,1032.199126230719,1,2,1,3,4,1
75,57,1,3,2,2016-01-02,2,1,3,13,119.1,44341.82,Error,563.92,1,2,1,1,2,1
76,47,1,3,4,2015-07-22,3,3,3,10,131.86,26399.43,17.0,757.01,2,1,1,4,2,0
77,50,1,3,3,2015-01-21,1,1,3,19,65.39,17054.69,21.0,353.3690014856328,2,1,1,3,1,0
78,49,2,2,4,2016-08-25,1,3,3,3,74.9,41612.23,28.0,1196.5693152600402,2,1,1,4,1,1
79,54,1,3,4,2017-06-21,3,2,3,20,-687.6295740289631,42060.89,24.0,684.69,1,2,1,1,4,1
80,30,1,1,3,2016-09-17,2,1,3,9,97.74,32347.7,27.0,686.8821987429081,2,1,2,2,2,0
81,25,2,2,4,2015-08-20,3,3,3,13,135.21,3561.26,17.0,686.8821987429081,1,2,1,3,8,0
82,53,2,2,5,2015-04-02,2,1,3,18,172.99,9044.15,8.0,763.14,1,2,1,4,5,0
83,54,1,3,5,2015-08-07,1,2,3,13,254.72,11345.66,7.0,572.41,2,1,1,4,3,1
84,62,2,2,2,2016-10-13,2,2,3,5,304.52,47658.52,29.0,699.19,2,1,1,3,8,1
85,55,1,2,1,2015-04-14,1,2,3,1,1316.52,2367.56,25.0,441.8365499392011,1,2,2,2,1,0
86,30,2,3,2,2017-11-13,3,1,3,13,264.54,40756.7,26.0,628.31,1,2,2,2,8,1
87,30,1,2,4,2017-06-03,2,2,3,12,191.41,25575.44,Error,648.68,2,1,1,4,2,1
88,51,1,3,5,2015-12-10,1,1,3,13,135.09,48819.9,8.0,686.8821987429081,1,2,1,4,2,0
89,29,1,1,4,2017-11-07,1,2,3,12,123.37,13032.52,6.0,686.8821987429081,1,2,2,2,1,1
90,16,1,2,4,2017-11-06,3,1,3,9,355.31,20457.22,5.0,1233.7697272353937,1,1,1,4,3,0
91,25,2,1,3,2017-05-18,1,2,3,11,31.88,35414.54,20.0,788.67,2,1,2,2,1,0
92,62,2,2,5,2017-07-06,2,2,3,14,125.0,38802.24,28.0,686.8821987429081,2,1,1,5,1,1
93,24,2,3,5,2017-08-29,1,1,3,5,181.34,43554.96,1.0,728.69,1,2,1,4,5,0
94,48,1,2,2,2015-03-27,1,1,3,8,960.62,13954.02,17.0,631.15,2,1,1,3,2,1
95,56,1,1,5,2017-08-22,1,1,3,24,48.59,28071.04,16.0,533.05,2,1,1,3,4,1
96,17,1,3,5,2016-12-28,1,1,3,12,30.12,15027.14,12.0,686.8821987429081,2,1,2,2,1,1
97,23,2,3,3,2016-08-04,1,1,3,21,727.69,4919.72,13.0,758.83,1,1,2,2,8,0
98,42,2,2,2,2016-06-23,2,2,3,3,419.51,14661.42,Error,404.4897583720529,2,1,1,4,1,1
99,59,1,1,3,2015-09-01,1,2,3,8,899.04,49614.88,23.0,758.69,1,2,2,2,4,0
100,18,1,3,5,2015-12-22,2,1,3,11,293.42,2521.3,Error,964.8409708374116,1,2,1,1,2,1
101,23,1,2,3,2015-06-21,1,1,3,10,934.354219849904,11955.94,24.0,630.8,2,1,1,5,2,1
102,52,2,2,5,2017-11-13,1,2,3,4,826.51,14877.24,25.0,522.61,1,2,2,2,2,1
103,49,2,3,5,2016-09-02,1,1,3,21,115.41,41156.81,27.0,741.02,2,1,2,2,2,0
104,30,1,3,5,2017-05-14,2,3,3,7,481.45,4207.45,28.0,776.36,1,1,2,2,2,0
105,31,2,3,5,2016-08-18,2,1,3,14,148.95,2364.45,Error,634.51,2,1,2,2,8,1
106,27,1,2,4,2016-10-23,2,2,3,21,357.45,29825.45,9.0,665.63,2,1,1,3,4,1
107,56,1,2,3,2016-04-24,2,1,3,21,1386.2328573111793,9454.17,19.0,778.27,1,2,2,2,8,0
108,11,1,3,4,2016-08-24,2,1,3,15,96.14,11995.93,19.0,207.1697690180181,1,2,2,2,2,1
109,31,2,3,4,2017-04-13,2,2,3,10,428.05,6325.08,28.0,80.09369312905504,2,1,2,2,3,1
110,29,1,3,5,2016-05-07,2,1,3,14,42.48,16098.94,21.0,766.85,1,2,1,3,4,0
111,31,2,2,4,2016-04-20,1,2,3,24,33.91,23226.43,7.0,762.48,2,1,1,3,2,0
112,11,2,3,5,2015-03-10,2,1,3,8,1060.5279791549135,10990.31,16.0,271.71438129394863,1,2,2,2,3,1
113,14,1,3,5,2017-07-19,2,1,3,-999,1156.4319042423044,32302.27,24.0,520.33,2,1,2,2,2,1
114,26,1,2,4,2017-11-14,1,2,3,7,187.91,17002.23,11.0,700.11,2,1,2,2,8,0
115,62,1,3,5,2016-01-09,2,1,3,10,284.09,48305.86,Error,730.05,2,1,2,2,4,0
116,51,1,1,1,2017-09-22,2,1,3,3,-494.0838770502796,40667.27,19.0,809.83,1,2,2,2,7,0
117,43,2,1,4,2016-12-12,1,2,3,20,-771.4156089065677,16186.76,8.0,633.22,1,2,2,2,2,1
118,23,1,3,3,2016-03-17,3,1,3,12,109.76,46102.66,8.0,783.03,1,2,2,2,3,0
119,57,1,3,3,2015-08-30,1,1,3,-999,56.63,10171.97,23.0,757.61,1,2,1,4,1,0
120,17,1,3,3,2015-11-12,1,2,3,21,81.15,46109.6,17.0,270.4676559723125,1,2,2,2,1,1
121,42,1,2,1,2015-06-08,1,2,3,10,1195.7326664672294,31504.62,10.0,1207.2537286760455,1,2,2,2,2,0
122,21,2,2,4,2016-03-11,2,3,3,7,99.95,22865.42,21.0,686.8821987429081,2,1,2,2,1,0
123,46,1,1,2,2017-03-16,1,2,3,21,287.39,44809.68,27.0,629.6,2,1,2,2,3,1
124,41,1,3,4,2016-11-25,1,1,3,-999,892.02,36394.44,26.0,630.98,1,1,1,5,4,1
125,61,1,2,5,2017-05-31,3,2,3,7,115.29,13019.31,14.0,164.07034816193467,1,2,1,4,3,1
126,15,2,2,5,2015-08-04,3,1,3,5,185.05,43833.54,15.0,743.57,2,1,2,2,3,0
127,56,1,3,3,2016-07-08,1,1,3,16,30.16,33886.44,5.0,670.11,2,1,2,2,2,1
128,35,1,2,3,2015-03-26,2,2,3,17,219.13,70247.76,3.0,1293.1693808393377,1,1,2,2,9,0
129,57,1,3,2,2015-01-13,1,2,3,8,400.35,30248.45,9.0,660.25,2,1,1,5,2,1
130,64,1,3,2,2015-03-16,2,1,3,20,49.24,39981.97,12.0,648.6,1,2,1,3,8,1
131,21,1,3,5,2017-02-28,1,2,3,16,590.85,21919.13,14.0,610.24,1,2,1,3,3,1
132,53,2,3,3,2017-01-27,2,2,3,22,1142.148835374673,34918.7,6.0,699.08,1,2,1,4,4,1
133,26,1,1,2,2017-06-26,1,1,3,16,138.33,8025.77,29.0,1016.7857130097486,1,2,2,2,2,1
134,61,1,3,3,2016-01-08,1,2,3,7,516.46,45544.33,29.0,780.96,2,1,1,5,8,0
135,30,1,3,2,2015-04-28,2,1,3,19,211.19,2554.48,10.0,622.45,1,1,1,3,4,1
136,38,1,3,3,2015-08-13,1,1,3,19,942.84,49037.16,6.0,686.8821987429081,2,1,2,2,1,0
137,35,2,2,3,2015-06-24,2,2,3,10,267.45,32922.76,8.0,701.45,2,1,2,2,1,1
138,61,2,3,2,2017-07-17,1,1,3,22,34.37,3862.41,10.0,602.86,2,1,2,2,8,1
139,53,1,2,3,2017-05-05,2,1,3,19,213.34,8860.9,6.0,671.74,1,2,1,3,4,1
140,55,1,3,2,2017-11-26,2,3,3,23,50.48,8944.54,25.0,626.96,1,2,1,5,2,1
141,23,1,2,5,2016-01-30,1,2,3,13,1044.243493684985,26060.01,22.0,684.88,1,2,1,3,4,1
142,11,1,3,5,2015-04-23,1,2,3,-999,628.79,33199.52,22.0,777.94,1,2,1,1,2,0
143,22,1,3,2,2017-10-07,2,3,3,17,56.58,41050.72,15.0,686.8821987429081,1,2,1,3,4,1
144,37,1,1,4,2015-02-04,1,2,3,11,172.07,23587.32,28.0,326.1310708697294,1,2,2,2,4,1
145,31,1,3,1,2016-03-15,2,1,3,6,44.99,3087.16,8.0,750.95,1,2,2,2,1,0
146,20,1,2,1,2016-12-22,2,2,3,11,144.33,54420.14,5.0,686.8821987429081,2,1,2,2,9,0
147,53,1,2,5,2017-09-02,1,2,3,7,787.74,20129.88,12.0,686.8821987429081,1,2,1,4,6,0
148,38,2,2,5,2017-05-24,3,3,3,26,30.49,37139.89,20.0,627.26,1,2,2,2,2,1
149,59,2,2,5,2016-08-31,2,2,3,8,400.21,33996.1,38.47159929450214,697.6,1,1,2,2,3,1
150,50,2,3,3,2016-02-26,1,2,3,13,103.36,39610.89,10.0,653.12,1,2,1,3,2,1
151,64,2,2,4,2015-03-30,3,2,3,8,58.15,27995.24,18.0,686.8821987429081,1,2,2,2,3,0
152,27,2,3,3,2017-03-27,1,2,3,10,862.2,35895.98,21.0,686.8821987429081,2,1,2,2,1,1
153,12,2,3,3,2017-10-07,3,1,3,9,412.22,1313.11,18.0,733.13,1,1,2,2,5,0
154,29,2,1,5,2016-01-04,1,2,3,19,222.69,18297.21,2.0,774.47,2,1,1,1,5,0
155,39,2,2,4,2016-09-27,2,2,3,16,283.85,3888.65,18.0,959.9204100132208,1,2,2,2,5,0
156,37,2,2,5,2017-05-21,3,1,3,17,136.19,6965.48,5.0,1181.873762583066,1,2,2,2,8,0
157,37,2,3,3,2016-02-09,2,2,3,5,32.29,63097.55,-12.714310534412167,780.09,2,1,2,2,9,0
158,21,1,3,4,2015-07-01,2,1,3,12,145.45,48500.63,11.0,727.97,2,1,1,3,2,0
159,64,2,3,5,2017-09-26,2,2,3,10,313.84,23211.35,15.0,573.16,1,2,2,2,3,1
160,56,2,3,4,2016-02-03,3,2,3,11,254.72,28425.26,11.0,789.3,1,1,2,2,1,0
161,37,2,3,5,2016-07-21,2,1,3,9,206.56,13037.39,13.0,616.68,1,2,1,4,8,1
162,55,1,3,5,2016-10-07,2,2,3,21,51.75,27564.76,24.0,660.59,2,1,2,2,8,1
163,18,1,2,5,2016-05-10,1,2,3,10,117.9,49537.82,7.0,528.08,1,2,1,3,3,1
164,27,2,3,4,2017-09-27,3,3,3,2,484.45,83453.57,14.0,788.97,2,1,1,5,7,0
165,57,1,3,5,2017-10-26,2,2,3,6,32.89,16340.59,-1.590067117833705,686.8821987429081,1,2,1,4,4,0
166,48,2,2,5,2017-09-23,1,1,3,15,77.18,49448.05,5.0,605.23,2,1,1,1,3,1
167,54,1,3,5,2016-07-24,2,1,3,8,60.77,45095.33,1.234738898757417,692.59,1,2,2,2,3,1
168,52,2,1,3,2017-12-31,2,2,3,15,197.85,42084.72,18.0,710.7,2,1,2,2,2,0
169,33,2,3,1,2017-09-20,1,2,3,11,502.4,4714.82,24.0,472.8025703520018,1,2,2,2,4,0
170,35,1,3,2,2017-03-05,1,2,3,6,33.96,6175.77,22.0,545.14,1,2,2,2,3,1
171,42,1,2,1,2015-10-06,3,2,3,13,617.09,33226.66,17.0,1053.420685435173,1,1,1,1,3,0
172,39,2,2,3,2017-10-27,2,1,3,9,34.93,42965.53,29.0,630.68,2,1,1,3,3,1
173,50,2,2,3,2016-06-15,1,1,3,20,198.19,20710.0,10.0,686.8821987429081,2,1,1,5,3,1
174,29,1,2,5,2015-01-08,1,1,3,11,317.25,17951.87,17.0,753.97,2,1,2,2,2,0
175,47,1,3,2,2017-01-05,1,3,3,5,876.87,41927.46,17.0,636.3,1,2,1,4,4,0
176,16,2,2,3,2017-04-30,2,3,3,8,133.36,21896.63,13.0,644.25,1,2,2,2,1,1
177,48,1,3,5,2015-12-28,1,3,3,8,522.81,27264.0,11.0,556.79,1,1,1,4,4,1
178,14,2,2,2,2016-12-19,2,1,3,10,33.34,46392.24,24.0,582.93,1,2,2,2,2,1
179,13,2,1,5,2016-11-28,2,2,3,5,84.05,10423.83,29.0,1044.8153799682143,2,1,1,1,1,0
180,56,2,3,2,2016-09-04,1,1,3,19,69.22,14117.54,12.0,523.54,2,1,1,4,4,1
181,64,2,2,4,2016-09-29,2,1,3,14,32.16,67458.29,-13.646849550496079,764.62,1,2,1,4,9,0
182,47,1,3,2,2015-03-14,1,2,3,20,692.73,18404.11,19.0,1072.7451280522948,1,2,1,1,4,1
183,46,2,3,5,2015-08-02,3,2,3,12,261.76,15786.32,Error,704.13,2,1,2,2,3,0
184,45,1,3,5,2017-04-04,1,2,3,14,38.65,1225.14,9.0,700.07,1,2,1,5,8,0
185,60,2,3,5,2015-12-10,1,2,3,16,182.16,43782.88,Error,761.49,2,1,1,4,9,0
186,19,2,3,5,2016-03-30,1,2,3,20,31.98,14432.03,24.0,730.04,1,2,1,3,2,0
187,21,2,3,4,2017-03-23,2,3,3,12,283.79,38527.24,26.0,760.53,1,2,1,1,1,0
188,60,1,2,4,2015-07-27,3,2,3,9,1185.912249727444,29872.64,8.0,744.29,1,2,1,4,2,0
189,32,1,3,3,2017-11-11,2,2,3,17,329.16,37811.56,27.0,757.14,2,1,1,5,4,0
190,36,2,3,5,2017-12-09,1,2,3,7,700.63,26571.36,13.0,738.84,1,1,2,2,5,0
191,52,2,3,5,2016-08-24,2,2,3,3,166.57,45964.8,17.0,630.0,1,2,1,1,8,1
192,39,1,3,2,2016-12-29,1,2,3,12,126.05,43632.02,16.0,594.51,1,2,2,2,4,1
193,42,2,2,4,2016-09-03,2,1,3,11,428.35,26483.73,14.0,713.42,2,1,2,2,1,0
194,56,1,3,4,2017-05-03,1,3,3,16,148.06,15456.63,29.0,984.3321161749412,2,1,1,4,1,1
195,17,2,3,3,2017-07-12,2,1,3,15,196.56,1246.57,22.0,766.76,1,2,1,4,1,0
196,56,1,3,2,2016-08-30,2,1,3,10,359.98,38699.34,29.0,560.14,2,1,1,1,2,0
197,33,2,2,5,2017-12-29,2,1,3,22,32.47,25468.76,Error,298.8686939801553,2,1,2,2,2,0
198,33,2,2,3,2015-11-07,2,2,3,22,177.73,35286.1,Error,709.01,1,2,1,1,4,1
199,41,1,3,5,2015-05-11,2,2,3,9,493.22,20294.0,23.0,686.8821987429081,1,2,2,2,4,1
200,42,2,2,5,2017-05-13,2,3,3,4,316.14,13516.16,20.0,659.85,2,1,1,3,3,1
201,43,1,3,3,2017-05-14,1,1,3,19,107.18,16027.34,4.0,1059.640735763282,2,1,1,3,9,0
202,12,2,2,2,2015-06-11,1,3,3,22,108.2,2998.4,26.0,678.14,1,2,1,1,8,1
203,23,2,1,5,2015-05-13,2,1,3,11,-900.2103186369052,14865.87,25.0,686.8821987429081,2,1,1,3,1,1
204,14,2,3,3,2015-07-02,2,2,3,5,407.97,19138.74,12.0,686.8821987429081,2,1,2,2,4,1
205,62,2,3,3,2015-10-18,1,2,3,6,308.28,38497.78,21.0,792.37,1,2,1,5,8,0
206,60,1,3,3,2015-12-17,3,1,3,7,67.78,14175.2,Error,464.5011749930118,2,1,1,4,2,1
207,56,1,3,5,2016-07-23,1,1,3,5,732.71,47547.72,15.0,936.3622800699138,1,1,1,5,3,1
208,41,1,3,3,2015-06-14,1,1,3,22,188.96,40428.78,23.0,614.25,2,1,1,4,8,1
209,18,2,3,3,2016-05-02,2,1,3,21,32.82,46250.9,2.0,779.89,1,2,2,2,9,0
210,63,1,1,3,2017-03-25,1,2,3,17,1099.5,95625.4,13.0,686.8821987429081,2,1,2,2,6,0
211,23,1,2,3,2017-12-08,1,1,3,15,547.87,36383.39,4.0,763.15,2,1,1,3,5,0
212,17,1,2,1,2017-10-30,1,1,3,14,80.4,15214.2,16.0,761.95,1,2,2,2,1,0
213,42,2,2,3,2016-03-28,1,1,3,8,179.84,39667.91,10.0,-38.0843140071828,2,1,2,2,3,0
214,31,2,2,4,2017-02-01,3,1,3,10,731.24,36981.7,26.0,774.16,2,1,1,5,2,0
215,12,2,3,3,2017-06-02,2,3,3,13,49.19,35209.09,10.0,799.43,2,1,1,1,6,0
216,63,1,3,1,2017-11-13,2,2,3,15,30.66,15079.52,23.0,469.5653777647852,1,2,2,2,8,0
217,16,2,3,5,2017-11-03,2,1,3,7,34.49,31418.7,Error,770.66,1,2,1,5,3,0
218,38,1,3,5,2016-02-04,1,1,3,17,117.11,29114.92,Error,521.7,2,1,1,1,8,1
219,15,1,2,1,2015-12-18,2,3,3,-999,93.76,28456.92,5.0,704.31,2,1,2,2,4,0
220,30,1,2,2,2015-11-06,2,1,3,-999,121.38,13374.01,12.0,693.0,1,2,2,2,4,1
221,64,1,1,2,2016-10-11,2,2,3,10,445.01,37220.97,Error,550.13,2,1,1,3,4,1
222,59,1,3,2,2015-01-29,1,2,3,10,628.79,40093.14,55.016168569095036,622.06,2,1,2,2,2,1
223,23,1,2,2,2015-08-04,2,1,3,11,31.45,18606.73,24.0,621.94,2,1,2,2,3,1
224,32,2,3,4,2015-06-22,2,2,3,24,38.88,41019.89,19.0,750.83,2,1,1,3,6,0
225,11,1,3,5,2015-05-03,1,2,3,12,85.52,10636.13,5.0,730.02,2,1,2,2,8,0
226,42,1,2,1,2016-07-30,1,3,3,22,1097.8218895490347,27380.8,27.0,799.91,2,1,1,4,3,0
227,12,1,3,2,2017-11-01,2,1,3,8,322.3,14310.09,11.0,559.2451349253587,1,2,2,2,3,1
228,45,1,2,5,2015-07-01,1,3,3,13,31.2,37295.99,25.0,1196.6007504272748,2,1,2,2,8,0
229,19,2,3,1,2015-03-24,1,2,3,11,38.63,23832.38,Error,686.8821987429081,2,1,1,3,3,0
230,55,2,2,3,2015-08-06,2,2,3,12,291.94,97643.81,5.0,713.99,1,1,2,2,9,0
231,16,2,2,4,2017-02-27,2,1,3,-999,343.13,32605.84,16.0,335.26208183526705,2,1,2,2,2,1
232,56,1,2,1,2016-02-11,3,2,3,19,180.37,21460.83,27.0,240.15819303168496,1,2,2,2,2,0
233,24,2,3,4,2016-11-08,1,3,3,23,31.81,36494.51,24.0,622.69,2,1,2,2,2,1
234,24,2,3,1,2015-01-14,2,2,3,12,31.86,21842.03,19.0,743.44,2,1,2,2,8,0
235,53,1,3,5,2015-06-11,2,3,3,5,428.81,40698.54,9.0,600.39,2,1,1,4,4,1
236,12,2,3,2,2015-08-18,2,3,3,17,97.85,31574.54,28.0,686.8821987429081,2,1,2,2,4,1
237,58,1,3,5,2015-02-19,3,1,3,19,1223.7690114582874,47756.12,15.0,631.09,1,2,2,2,1,1
238,63,2,1,5,2017-06-16,1,2,3,15,1090.92,12483.66,2.0,705.75,1,1,1,4,6,0
239,62,1,3,3,2016-07-07,2,2,3,13,402.05,20411.69,15.0,517.3513913379674,1,2,2,2,5,0
240,48,2,1,1,2015-04-09,1,1,3,2,33.18,24394.24,16.0,1042.0870641604756,2,1,1,1,3,0
241,60,1,3,3,2015-11-01,3,2,3,9,54.08,19078.81,17.0,752.88,1,2,1,3,4,0
242,64,2,2,5,2017-08-19,1,2,3,9,-408.2693518941809,36532.11,16.0,621.72,2,1,2,2,4,1
243,11,2,3,5,2016-12-10,3,2,3,5,106.24,47511.49,11.0,559.8,1,2,2,2,2,1
244,39,1,2,2,2015-06-02,3,1,3,15,46.22,35937.37,6.0,686.8821987429081,1,2,2,2,8,1
245,52,2,2,2,2016-10-09,2,3,3,15,45.45,47218.23,29.0,632.14,2,1,2,2,8,1
